DOCID	CLASE	NUM-TERMINOS	TERMINOS[termino/peso]
123	coffee	139	account/0.055366 ago/0.046343 agree/0.066541 agreement/0.039806 also/0.027518 american/0.04419 apparently/0.077717 arango/0.258671 association/0.056406 believe/0.062943 brazil/0.158734 cardenas/0.200135 case/0.074119 catastrophe/0.100068 central/0.050981 coffee/0.202214 colombia/0.213538 combat/0.100068 common/0.041849 consternation/0.100068 consuming/0.074119 countries/0.13257 crop/0.053467 cut/0.09634 debt/0.049515 debts/0.077717 decisions/0.077717 defend/0.088892 developing/0.077717 difficult/0.062943 dlrs/0.01378 drought/0.074119 drug/0.077717 earnings/0.046343 effectively/0.100068 efforts/0.068694 ended/0.043694 evident/0.100068 export/0.082001 exporters/0.071179 exporting/0.071179 external/0.074119 factors/0.058713 fail/0.100068 failing/0.082355 failure/0.133082 fight/0.100068 following/0.117427 fresh/0.077717 gilberto/0.100068 however/0.045231 ico/0.133082 imminent/0.100068 impact/0.057518 including/0.047538 industrialized/0.088892 intelligent/0.100068 international/0.038693 jugular/0.100068 last/0.029019 lb/0.077717 london/0.060004 low/0.052595 lowest/0.071179 made/0.041849 map/0.100068 market/0.032765 meeting/0.044702 must/0.054388 nations/0.112812 near/0.056406 new/0.061786 night/0.066541 now/0.040592 one/0.025343 order/0.082355 organization/0.068694 past/0.064642 plummet/0.100068 predicted/0.064642 president/0.045231 price/0.038693 prices/0.096472 private/0.051768 problem/0.062943 producers/0.054388 producing/0.112812 prolonged/0.100068 quicklymap/0.100068 quotas/0.120008 quoted/0.074119 reach/0.064642 repaying/0.088892 resumption/0.100068 reuter/0.000033 reuters/0.045231 s/0.056723 said/0.02905 sale/0.049515 say/0.054388 second/0.057518 seek/0.148238 short/0.064642 soared/0.088892 solve/0.082355 sources/0.050981 special/0.054388 stand/0.077717 stocks/0.055366 strategy/0.191594 support/0.051768 suspended/0.082355 take/0.054388 taken/0.061407 term/0.061407 thing/0.077717 today/0.036675 told/0.036995 totality/0.100068 trade/0.034326 traders/0.057518 trafficking/0.100068 true/0.100068 try/0.068694 understand/0.088892 undoubtedly/0.088892 unifying/0.100068 us/0.025033 used/0.064642 vein/0.100068 vital/0.088892 watch/0.100068 well/0.048828 world/0.042291 year/0.013934 years/0.045231 york/0.057518 10/0.039806 1.14/0.082355
130	trade	81	allow/0.086227 another/0.06984 apparently/0.106465 approval/0.078795 back/0.154543 balance/0.073244 bill/0.216151 billion/0.044215 budget/0.168243 calls/0.106465 club/0.112819 committeechairman/0.121774 congress/0.075846 congressional/0.112819 dan/0.121774 debated/0.121774 dlrs/0.018878 enacted/0.112819 expect/0.078795 fall/0.061962 general/0.073244 go/0.077271 help/0.07205 hike/0.121774 hold/0.080432 house/0.074507 however/0.061962 imports/0.062711 include/0.074507 increase/0.117114 increases/0.073244 individual/0.137084 industry/0.065989 issues/0.080432 items/0.094105 last/0.039753 leave/0.121774 level/0.073244 limit/0.094105 luncheon/0.137084 major/0.056741 means/0.094105 national/0.06783 next/0.065989 number/0.077271 part/0.06783 prefer/0.112819 president/0.061962 press/0.101536 proposal/0.075846 proposals/0.084122 proposed/0.135661 protection/0.112819 quotas/0.0822 rates/0.139679 rather/0.106465 reagan/0.217451 reform/0.112819 reluctant/0.243548 reuter/0.000045 revenue/0.094105 rostenkowski/0.314782 ruled/0.137084 s/0.046784 said/0.031357 single/0.101536 sought/0.106465 special/0.074507 suicide/0.121774 support/0.070917 tax/0.213848 textile/0.225637 told/0.050679 trade/0.141071 unchanged/0.075846 us/0.034292 ways/0.094105 year/0.057265 1987/0.046652 1988/0.088554 22/0.074507
139	coffee	92	according/0.054239 accounts/0.063326 affect/0.07261 affected/0.063326 another/0.049944 around/0.09314 assigned/0.080678 cafe/0.098031 caused/0.060157 coffee/0.221032 continued/0.056348 controlled/0.080678 cooperative/0.225105 cooperatives/0.098031 crop/0.157135 damage/0.067296 dlrs/0.027 early/0.043792 expected/0.038624 export/0.040166 exported/0.168505 exports/0.042333 extensive/0.087083 february/0.037219 flood/0.087083 floods/0.098031 forward/0.067296 four/0.043291 group/0.035321 groups/0.07261 harvest/0.139461 harvesting/0.087083 heavy/0.067296 hoping/0.087083 ico/0.168505 increase/0.041875 international/0.037906 justo/0.098031 kilos/0.080678 last/0.073486 looking/0.06973 ludena/0.098031 marin/0.196061 members/0.117565 mln/0.021896 month/0.08375 next/0.04719 non/0.054239 one/0.024827 organisation/0.14522 pct/0.038203 peru/0.289229 peruvian/0.098031 plantations/0.087083 president/0.08862 producers/0.106562 quintales/0.351436 quota/0.065187 rains/0.196805 reached/0.058782 recent/0.04431 record/0.029218 reuter/0.000032 reuters/0.04431 rica/0.161357 s/0.033456 said/0.026796 september/0.051524 spokesman/0.042333 starts/0.098031 state/0.043291 theperu/0.098031 told/0.036242 unaffected/0.196061 value/0.053281 valued/0.067296 villa/0.196061 waters/0.098031 whose/0.080678 year/0.045346 1.3/0.07261 1381009/0.098031 1616101/0.098031 1800000/0.098031 1986/0.019316 20/0.037559 230/0.098031 235092/0.098031 35/0.058782 46/0.07261 59960/0.098031 913000/0.098031
164	grain	51	action/0.085888 additional/0.072957 agriculture/0.06573 also/0.037549 commodity/0.097126 corporation/0.106046 coverage/0.136545 credit/0.231091 credits/0.090797 cumulative/0.088206 decreased/0.121296 department/0.113036 dlrs/0.048607 eligible/0.112375 excess/0.112375 export/0.111893 exported/0.090797 exports/0.058965 extended/0.101137 fiscal/0.085888 gsm/0.352964 guarantee/0.313545 hasapproved/0.136545 increases/0.072957 interemdiate/0.136545 intermediate/0.121296 line/0.153935 mln/0.045748 morocco/0.313545 must/0.148428 program/0.230903 registered/0.106046 reuter/0.000044 s/0.0233 said/0.020822 sales/0.110548 september/0.071767 seven/0.064036 terms/0.062464 three/0.045049 us/0.102473 wheat/0.208696 year/0.019013 years/0.123437 102/0.136545 103/0.212093 1987/0.092938 30/0.052798 45.0/0.27309 60.0/0.136545 75.0/0.136545
166	grain	194	able/0.051865 accu/0.059323 acreage/0.05496 agriculture/0.032147 ahead/0.049464 also/0.018364 analyst/0.040044 analysts/0.150573 another/0.034023 appear/0.059323 area/0.04314 areas/0.099225 authority/0.049464 back/0.037643 bad/0.049464 bears/0.059323 broken/0.05496 brought/0.042006 bulk/0.059323 buy/0.029491 buying/0.086279 can/0.033044 candor/0.066781 careful/0.059323 caused/0.081961 certainty/0.066781 chief/0.040044 cold/0.155595 combined/0.04314 conditions/0.045844 correlation/0.066781 crop/0.148789 crops/0.15059 crucial/0.059323 crusting/0.066781 damaged/0.109921 demands/0.059323 department/0.027642 desperate/0.066781 determine/0.051865 dim/0.05496 don/0.044407 dry/0.134069 dryness/0.133562 due/0.055283 ef/0.059323 enduring/0.066781 entering/0.059323 entire/0.05496 equal/0.045844 excellent/0.059323 fall/0.114926 farmers/0.039183 faulty/0.066781 feed/0.10373 feeding/0.059323 feel/0.059323 final/0.04098 fluke/0.066781 forecast/0.0351 forecaster/0.059323 future/0.034548 gail/0.066781 generally/0.051865 germination/0.059323 getting/0.049464 good/0.081961 gradually/0.059323 grain/0.140469 grains/0.11479 growing/0.045844 half/0.034023 harvest/0.047502 hectares/0.047502 highest/0.05496 however/0.030185 huge/0.059323 hutton/0.059323 ice/0.05496 impact/0.038386 inadequate/0.059323 increased/0.034023 insure/0.066781 jim/0.066781 last/0.05006 late/0.037643 likely/0.036297 little/0.045844 livestock/0.049464 longer/0.051865 lot/0.051865 lower/0.078027 made/0.027929 major/0.027642 market/0.021866 martell/0.200343 may/0.023279 mediocre/0.066781 melting/0.066781 meteorologist/0.066781 might/0.038386 mln/0.014916 month/0.028527 much/0.033044 near/0.037643 needs/0.049464 next/0.096441 nine/0.026064 normal/0.098928 normally/0.118646 northern/0.049464 note/0.018364 noted/0.034548 now/0.02709 occur/0.118646 official/0.028527 one/0.016913 outcome/0.051865 pasture/0.066781 pastures/0.066781 pct/0.033637 perfect/0.066781 period/0.032586 plans/0.032586 point/0.04314 poor/0.049464 precipitation/0.066781 premature/0.059323 probably/0.086279 problem/0.042006 problems/0.078366 prospects/0.047502 push/0.05496 raised/0.038386 really/0.049464 recent/0.030185 recently/0.04314 record/0.019904 reported/0.02916 require/0.047502 reseed/0.066781 reseeded/0.059323 reuter/0.000022 s/0.029457 said/0.025459 say/0.036297 second/0.038386 seen/0.037643 senior/0.04314 shaky/0.066781 situation/0.078366 six/0.064955 snowcover/0.172627 sometimes/0.059323 southern/0.042006 soviet/0.166981 soviets/0.177969 speculate/0.05496 spring/0.185934 standpoint/0.066781 start/0.086279 still/0.0351 subsequent/0.066781 supplies/0.044407 supply/0.034023 t/0.038386 temperatures/0.095005 ten/0.049464 time/0.028838 timely/0.066781 toa/0.066781 tonnes/0.02709 total/0.023663 ukraine/0.059323 ultimately/0.066781 union/0.097306 us/0.016706 usda/0.071363 ussr/0.098928 usually/0.05496 watching/0.066781 weather/0.172292 weeks/0.11479 will/0.047588 winter/0.192378 winterkill/0.185934 worried/0.059323 year/0.018598 years/0.030185 yield/0.049464 210/0.066781 25/0.061855 30/0.025822 35/0.040044
173	coffee	318	abandon/0.049325 accept/0.045697 acceptable/0.045697 achieve/0.045697 ad/0.049325 adding/0.032579 agree/0.073845 agreement/0.022087 allocate/0.049325 allow/0.034926 already/0.032579 alternative/0.038117 although/0.035869 american/0.02452 amongst/0.049325 apply/0.049325 april/0.016665 argument/0.049325 around/0.026378 availability/0.098649 average/0.059335 back/0.080906 bad/0.041127 bags/0.045697 basic/0.038117 basis/0.076234 begin/0.041127 board/0.044606 bottomless/0.055526 bought/0.032579 brazil/0.113189 brazilian/0.086247 breakdown/0.041127 bring/0.073845 brought/0.034926 buffer/0.055526 build/0.043123 can/0.027475 case/0.041127 cast/0.055526 caused/0.034073 cents/0.095443 claimed/0.055526 clear/0.041127 close/0.031916 coffee/0.130513 collapse/0.041127 come/0.036922 commercial/0.030721 commitment/0.045697 compared/0.022524 compares/0.039496 compromise/0.045697 condition/0.043123 considered/0.043123 consumer/0.108225 consumers/0.147439 consuming/0.041127 continued/0.031916 contrast/0.045697 corridors/0.055526 council/0.030721 countries/0.073561 criteria/0.091394 crop/0.089003 cynical/0.055526 damage/0.038117 dauster/0.211406 day/0.062597 debt/0.027475 decisions/0.043123 defining/0.055526 delegate/0.049325 delegates/0.151803 depressed/0.043123 details/0.032579 determine/0.043123 dictate/0.111051 difference/0.043123 differences/0.086247 different/0.082254 difficult/0.069852 direct/0.041127 discuss/0.071737 doubt/0.049325 drought/0.041127 due/0.022983 elements/0.049325 encourage/0.041127 end/0.025715 ending/0.034926 establish/0.039496 estimate/0.032579 even/0.073845 executive/0.032579 export/0.058809 exporters/0.039496 exporting/0.039496 exports/0.047956 failed/0.045697 failure/0.073845 fall/0.075293 february/0.021081 felt/0.055526 find/0.039496 floor/0.045697 following/0.032579 force/0.041127 forces/0.045697 forecast/0.029184 formula/0.043123 forthcoming/0.055526 found/0.045697 full/0.027094 future/0.05745 futures/0.078992 gaining/0.055526 gap/0.055526 go/0.080906 happy/0.045697 hard/0.036922 heavy/0.038117 held/0.027475 hidden/0.055526 hoc/0.049325 holding/0.035869 holdings/0.041127 hope/0.036922 horse/0.055526 ibc/0.055526 ico/0.173551 imagine/0.055526 importers/0.055526 importing/0.049325 imposed/0.045697 impossible/0.041127 indonesia/0.045697 insisted/0.055526 institute/0.031916 insufficient/0.045697 international/0.0555 interview/0.036922 iron/0.043123 jam/0.055526 jorio/0.055526 june/0.031299 keeping/0.043123 lapse/0.055526 last/0.048306 lasting/0.055526 later/0.035869 latin/0.038117 lb/0.111472 least/0.079413 like/0.076234 london/0.06659 low/0.029184 lowerto/0.055526 make/0.05208 many/0.034073 march/0.029384 market/0.054541 marketing/0.038117 markets/0.025715 may/0.058066 meet/0.036922 meets/0.055526 members/0.086066 minimum/0.038117 misconception/0.055526 mln/0.012402 momentum/0.049325 month/0.023719 months/0.02452 much/0.027475 need/0.06659 needed/0.036922 negotiating/0.086247 negotiation/0.049325 negotiations/0.098531 new/0.034284 next/0.026729 night/0.036922 non/0.030721 noted/0.028725 now/0.080747 objective/0.086247 october/0.033295 offer/0.02604 offering/0.038117 official/0.023719 one/0.042186 open/0.102096 operating/0.026729 options/0.039496 organization/0.038117 outs/0.055526 overall/0.041127 pact/0.033295 panic/0.055526 participate/0.049325 per/0.018044 plans/0.027094 plug/0.055526 policy/0.031299 politics/0.055526 prepared/0.078992 president/0.025098 pressure/0.073845 pressures/0.041127 previous/0.050802 price/0.0555 prices/0.062125 producer/0.114351 producers/0.125844 producing/0.031299 promises/0.055526 proposal/0.030721 proves/0.055526 public/0.027872 put/0.068147 quota/0.110767 quotas/0.166475 range/0.035869 ratio/0.045697 reaching/0.049325 real/0.030721 reflect/0.036922 reflected/0.043123 reflecting/0.041127 relationship/0.049325 remain/0.036922 return/0.032579 returning/0.049325 reuter/0.000036 rise/0.02452 round/0.043123 s/0.01895 said/0.021888 scheduled/0.034926 seemingly/0.055526 sell/0.053457 selling/0.036922 senior/0.035869 september/0.029184 session/0.043123 set/0.04904 setting/0.039496 settling/0.055526 share/0.016102 shares/0.019514 sharp/0.06659 show/0.031299 simplistic/0.055526 sink/0.055526 six/0.020893 sold/0.027094 sooner/0.055526 sources/0.028289 split/0.030179 stage/0.091394 stg/0.086066 stock/0.048089 stocks/0.061443 stood/0.043123 stop/0.045697 summer/0.049325 supplies/0.036922 support/0.028725 suspended/0.045697 system/0.029184 table/0.098649 talking/0.045697 talks/0.054188 target/0.031299 tenders/0.045697 time/0.023978 today/0.02035 tomorrow/0.038117 tonne/0.034926 towards/0.049325 trade/0.019047 traders/0.095748 trading/0.030179 tried/0.045697 uncertain/0.045697 unlikely/0.041127 urged/0.041127 us/0.01389 virtual/0.055526 waited/0.049325 want/0.071737 wanted/0.082254 way/0.065158 welcome/0.049325 whether/0.031916 whilst/0.055526 will/0.039567 yardstick/0.055526 year/0.023195 york/0.031916 1/0.044606 108.00/0.055526 11.2/0.043123 114.66/0.055526 120/0.043123 1270/0.055526 1314/0.055526 140/0.049325 15/0.022087 15.59/0.055526 184/0.055526 1972/0.055526 1980/0.041127 2/0.05208 26/0.030721 30/0.02147 4/0.034926
187	crude	52	agreed/0.075942 also/0.04396 approval/0.091886 british/0.341127 canada/0.081443 canadian/0.253578 cash/0.072256 closing/0.106299 company/0.039027 consist/0.159858 cp/0.159858 deal/0.091886 dlrs/0.022014 expected/0.062984 exploration/0.113709 gas/0.080244 interest/0.141187 interests/0.095856 ltd/0.159784 ltdsaid/0.159858 mln/0.035706 months/0.070594 north/0.103266 oil/0.064846 owned/0.08402 pacific/0.227418 pancanadian/0.413227 partners/0.100552 pct/0.031149 petroleum/0.201104 pounds/0.142005 private/0.082699 properties/0.259923 receive/0.091886 regulators/0.124152 retain/0.159858 reuter/0.000052 royalty/0.142005 said/0.024377 sea/0.118405 sell/0.153904 subject/0.090109 three/0.052741 two/0.042298 unit/0.069801 wells/0.124152 whitehall/0.159858 will/0.034291 working/0.113709 1.7/0.124152 3.5/0.124152 87/0.082699
